Charter_Oak_Covina,650.0,642.0,582.0,608.0,609.0,638.0,629.0,632.0
Mentone92359_,721.0,713.0,653.0,678.0,679.0,709.0,700.0,702.0
Orange_Cove93646_,350.0,354.0,294.0,322.0,320.0,339.0,344.0,332.0
Country_Club,137.0,148.0,132.0,108.0,137.0,125.0,130.0,118.0
Lake_Arrowhead,733.0,724.0,665.0,690.0,691.0,721.0,712.0,714.0
West_Athens,631.0,623.0,563.0,588.0,589.0,619.0,610.0,612.0
Rodeo,41.2,84.9,96.6,74.2,90.7,25.1,68.2,31.5
Marina_Del_Rey90292_,622.0,614.0,554.0,580.0,580.0,610.0,601.0,604.0
Crestline,705.0,696.0,637.0,662.0,663.0,693.0,683.0,686.0
Rancho_Mission_Viejo,714.0,706.0,646.0,671.0,672.0,702.0,693.0
Rio_Del_Mar,130.0,95.6,64.6,88.3,80.9,134.0,102.0,126.0
Tiburon,27.2,68.8,110.0,87.5,79.7,38.3,57.3,44.7
Oak_Hills92344_,672.0,664.0,604.0,630.0,630.0,660.0,651.0,654.0
Live_Oak95953_,216.0,260.0,268.0,244.0,265.0,200.0,243.0,206.0
Waterford,165.0,176.0,161.0,137.0,165.0,153.0,158.0,146.0
Fort_Irwin,717.0,709.0,649.0,675.0,675.0,705.0,696.0,699.0
Cloverdale95425_,139.0,180.0,210.0,188.0,204.0,139.0,182.0,145.0
Taft,449.0,440.0,381.0,406.0,407.0,437.0,428.0,430.0
La_Cresta92562_,746.0,738.0,678.0,704.0,705.0,735.0,725.0,728.0
Orosi93647_,351.0,354.0,294.0,322.0,320.0,339.0,344.0,332.0
Gonzales,198.0,182.0,122.0,148.0,148.0,193.0,169.0,185.0
1_Shields_Ave_Davis95616_,117.0,160.0,168.0,144.0,166.0,101.0,144.0,107.0
Los_Altos_Hills,62.7,38.9,29.2,33.9,8.4,80.4,33.8,63.6
Montecito93108_,531.0,515.0,455.0,481.0,482.0,526.0,502.0,518.0
